ID,Karma,About,Created,Updated
0-,1,,1394614453,
0-0,2,,1259866371,
0-4,-21,,1288394173,
0-_-_-_-_-_-_-0,5,,1341047296,
0-o,16,,1394494660,1431704972
1-2-3,2,,1287111157,
1-800-555-0199,2,,1327942536,
1-mary-kate,1,,1303950736,
1-more,4,,1437492506,1437495304
2-m3m3n70,1,,1351380524,1444329939
3-,4,,1244415479,
4-2011,2,,1301843102,
7-qrx-7,-1,,1413205524,1413208649
8-bit_Blaster,6,,1239519503,
9-lab,1,,1369127050,
9-to-5-loser,0,,1368342099,
A-F1V3,3,,1363898182,1437754077
A-K,654,,1308193846,1427153900
A-Merchant,19,"anjalimerchant ta gmail tod com<p>Looking to work at a start-up in San Francisco<p>Hopefully starting my own company sometime in the future...",1174520440,
A-bombinable,1,,1380854973,
B-30,1,,1276821924,
B-A,1,,1412665753,1413109991
B-Con,1827,"I&#x27;m a software engineer with a love for Linux, cryptography, and tinkering.<p>More about me at my website: http://bradconte.com/about<p>My reading list of HN crypto/security minds (WIP):\n* tptacek\n* sdevlin\n* NateLawson\n* sweis\n* cryptbe\n* moxie\n* pbsd\n* cperciva\n* daeken\n* tytso\n* andrewbinstock (editor of drdobbs)",1326664819,1451534473
B-Scan,577,"I help SaaS companies increase user activation rates and reduce churn. I accomplish that through UI improvements with focus on targeted metric.<p>http://devisedigital.co.uk/",1281366060,1437139525
B-n-c,9,,1406913682,1413949035
C--,158,,1381169080,1422056977
C--C,1,,1402994469,
C-64-Hacker,0,,1412629783,
C-ford,1,,1314888339,
C-ray,1,,1371747483,
C-sharp,1,,1363074112,1438003785
D-Coder,126,,1281467524,1451082364
D-Train,24,"Body Boss is a web tool that enhances athletic performance by monitoring workout results instantly.<p>Our Dream Team: http://www.bodybossfitness.com/about<p>Our slick site: http://www.bodybossfitness.com<p>Launched in January 2013 bootstrapping. Traction with high schools, colleges, large retail gyms, and NFL teams.",1330097928,1431621812
D-magik,2,,1393646931,
D-mo,39,,1281481443,
D-piano,1,"Director and owner of Riverside Music Studios in New York, NY",1365620598,
E-Oks,1,,1379221982,
E-Ray,1,"Currently a highschool freshman<p>I'm learning how to do a start-up by researching and gathering different advices. Please give me advices.<p>Thanks!",1211781597,
E-danB,2,,1301569028,
E-for-Endetta,54,,1372265623,1427116661
F-Bry-SyS,1,,1373252226,
I-M-S,131,,1437640851,1451991579
I-RIGHT-I,5,,1306405123,
I-just-farted,-2,,1266530499,
J-,1,,1427134750,1428574231
J-D-S,1,,1377235223,
J-H,674,,1343780272,1420318284
J-J,1,,1314284365,
J-L,17,"Dr. Jochen L. Leidner is a computer scientist specializing in information extraction (also known as ""text analytics""), search engines/information retrieval, geo-spatial processing (GIS), automatic question answering and mobile applications.",1214754804,
J-_-L,2,"irbtools gem",1302774462,1446426016
J-dawg,470,,1415012046,1452716747
K-Phoen,1,,1370262966,1426755933
K-Wall,111,"Yup. I&#x27;m a geek.",1395291947,1447692246
K-Zodron,40,,1281468098,
K-jo,2,,1276974932,
L-L-Lame_J,2,,1294296709,
L-Logic,2,,1453754075,1454885143
L-boog,9,,1436199503,1436304617
L-four,10,,1386663714,1443354997
M-L,2,,1362011267,
M-MZ,1,,1209963818,
M-S-B,4,"Founder of Mailcloud.com, previously founded Zaggora.com. We bootstrapped to 80 people, $40l in sales without investors or debt. It was frightening. Here to learn and share.",1417878439,1422459046
N-Gage,1,,1413578608,1413578699
N-O-D-E,1,,1431984623,1432016821
N-TA,1,"www.techaccelerator.com \nTechAccelerator is at the forefront of helping companies adopt new Enterprise Technologies in an evolved world. IT professionals need to experience and interact with a solution, not just read about its benefits. We make this possible through our web-based platform which provides custom virtual environments to showcase technologies and a hands-on approach to customer education and solution integration. We help publicly traded technology manufacturers, as well as some of Silicon Valley&#x27;s hottest startups, pitch their solutions and drive sales.<p>As a young company with an energetic distributed team, focused on delivering with efficiency, TechAccelerator is an ideal place for people who are are eager to learn a variety of technologies and solve complex problems with elegant solutions. We&#x27;re looking for great people who want to be part of a high performing team.",1427933375,1427933877
Q-Darius,1,,1384198456,
R-L,3,,1311303750,
S-Ye,2,,1295688406,1452892125
S-nickname,3,,1437845020,1438034974
T-800,1,,1351481094,1452906985
T-A,4372,,1326212573,1452799471
T-Ice,1,,1430234571,1453169113
T-R,929,"Backend engineer, co-founder of http://www.slant.co<p>Previously worked as a software engineer in Japan<p>Into Haskell, reverse engineering classic console games, RESTful (cache-oriented) architecture.",1276508199,1450207814
T-Roy,-4,,1417722398,1453172484
T-ShirtMaker,1,,1384796260,1452918827
T-Snap,2,,1313715105,1452896036
