ID,Karma,About,Created,Updated
D4236,5,,1311175022,
D42M,1,,1387288475,
D4AHNGM,33,,1401766235,1441076513
D4M14N,17,,1368760190,
D4N_,4,,1364175273,1425322543
D4n1el,0,,1340650342,
D4rkSk1s,1,,1320889854,
d4,112,differentagenda@gmail.com,1293741743,1452891993
d404,2,,1348788709,1452906326
d43594,19,,1365235408,1451556353
d474,3,,1352214441,1452907177
d4edalus,1,,1359399254,1452911496
d4ft,879,"davidtgoldberg+HN[at]gmail.com\ntrydavegoldberg.com\n@davidtgoldberg",1244127888,1450207814
d4l3k,13,,1393746546,1450207814
d4m0,36,,1345441961,1450207814
d4m45cuz,1,,1276757235,1452892217
d4mi3n,113,"I build financial software in San Francisco - https://twitter.com/d4mi3n",1255143518,1450207814
d4mmy,1,,1358187967,1452908808
d4mn,2,"I'm web developer creating startups. I'm trying to take over the world HAHA... Just kiding :)",1289261564,1450207814
d4n13ll33,49,"I&#x27;m the founder of Hush, the world&#x27;s first smart earplugs!<p>https://hush.technology",1395977562,1450207814
d4n3,64,,1314085724,1450873842
d4n3ws,1,,1379150506,1450207814
d4ncer,2,,1414791831,1453169899
d4nny,3,,1361966763,1452910264
d4nt,1228,"Hi, I'm d4nt. You can find me all over the web by googling that username.<p>Personal Page: http://d4nt.com<p>My Business: http://d4software.co.uk<p>My Current Project: http://querytreeapp.com<p>My email: ""dan"" at any of the above domains",1251043852,1450207814
d4nyll,2,,1423060307,1453167882
d4rkfoenix,1,,1429033049,1453168196
d4rkph1b3r,148,,1417758781,1453165205
d4rkvader,1,,1306134339,1452893876
d4rky,12,,1420392672,1453171002
d4rr3ll,4,,1282828728,1452889839
d4rt,55,"Duncan Turnbull\nInterested in IT Security, Compliance, Audit\nPartial to Log/IT Data analytics\nduncan.turnbull+hn@gmail.com",1251887651,1452888316
d4rt1,1,,1328552327,1452910955
d4rti,79,,1332320939,1451588721
d4sh,8,,1335384406,1452902431
d4tocchini,43,,1326767822,1450207814
d4v1dv00,3,,1333091111,1452901228
d4vlx,1065,,1358278693,1450207814
d4w33d,2,"Web developer. Graphic designer.",1351615326,1450207814
d4z,2,,1444008992,1453172818
