ID,Karma,About,Created,Updated
GC1,1,,1325637756,
GCA10,329,,1327859618,1452403938
GCFOX,1,,1351199769,
GCPCo,19,,1359926304,1413767080
GCU_Arbitrary,1,,1291107931,
GCheung55,1,,1335401371,
gChinkin,-5,,1296658980,1452892334
gc295,1,,1350197115,1452912657
gc888835,1,,1316271577,1452896655
gc_val,-2,,1313473298,1452895902
gcabeza,7,,1241585339,1452887906
gcacic,1,,1176190979,1176190979
gcahill,-1,,1321195600,1452898376
gcampbell,414,,1251250423,1450207814
gcampos,5,,1444444578,1453172954
gcandal,3,,1397810133,1453379866
gcanti,83,giulio.canti@gmail.com,1407172263,1450207814
gcanyon,138,,1231742818,1450207814
gcao,38,"gcao99 at gmail",1266272864,1451947880
gcapell,5,,1371427837,1450207814
gcapiel,4,,1285344637,1452890056
gcaplan,1,,1320968496,1452898339
gcaprio,8,,1172505861,1172505861
gcardone,1,,1327840819,1452901707
gcardone_,406,,1372245294,1450207814
gcardozo,1,,1393170599,1450207814
gcarignano,4,,1376674409,1453167570
gcarrasco,1,http://mussolblog.wordpress.com/about/,1390814059,1452920572
gcarre,13,"Software Developer.\nSan Francisco.",1335570864,1452804983
gcarswell,10,,1293506593,1452892097
gcasa,54,,1376367814,1452915508
gcassie,1,,1409068686,1450207814
gcatalfamo,225,it.linkedin.com/in/giuseppecatalfamo,1359537924,1450207814
gcatlin,3,,1344622743,1450207814
gcb,1704,"on silent-ban since forever... or back to slowban only. who knows? i keep commenting in the wind.",1250014750,1452888235
gcb0,2377,,1357587286,1452844488
gcb1,154,,1379277843,1452916440
gcb4,7,,1404808783,1450207814
gcbirzan,1,,1330614959,1452912589
gcburn2,1,,1434346685,1453174610
gcd,15,,1396128659,1450207814
gcdgcd,3,,1422050261,1453165539
gcdgcd2,11,,1423705211,1453166043
gce,2,,1292551518,1452891888
gcek9,5,,1448817549,1453174218
gcercy,3,,1326535561,1452899504
gcerquant,2,,1379697729,1450207814
gcetusic,13,,1439977767,1453171675
gcflymoto,5,,1330560758,1450207814
gcforky,872,"Busy with Forkytom...",1364281482,1452915403
gchadwick,112,,1429203761,1453168249
gchaincl,1,,1417511623,1450267840
gchaix,9,"Geek.  Sysadmin.  Passionate about open source and education.",1289179970,1452890606
gchak,2,,1309116870,1452894473
gchakrab,229,www.gaurabc.com,1235951172,1452888724
gchanan,1,,1424371951,1453166377
gchandrasa,9,,1266577870,1452897090
gchang,1,"twitter.com/gchang, www.linkedin.com/in/georgewchang",1335760019,1452905182
gchanting,1,,1340077222,1452903557
gchauhan,1,,1410607277,1453172093
gchavez2,1,,1414869870,1453165733
gchenMsft,13,,1430422244,1453168638
gcheong,3099,,1185473211,1451437726
gcherubin,4,"Interaction Designer @dianacorporate. Fellow @infart",1410903061,1450207814
gchev,1,,1395230681,1452922368
gchfjfjfj,0,,1394031268,1452922098
gchicareli,1,,1335156086,1452902370
gchiu,2,,1348608506,1452906276
gchokov,124,,1371126260,1451857130
gchorba,4,,1450298961,1453174610
gchp,341,http://gregchapple.com,1404857136,1452685222
gchpaco,1329,,1236892712,1450207814
gchq,2,,1434195824,1453169899
gchq2014,1,,1414565928,1450207814
gchqthrowaway,9,,1384046997,1452918321
gchucky,468,"uhh... hey.<p>developer of sorts in nyc.",1239147231,1450207814
gcid,1,,1398273329,1453175347
gcielo,5,,1306706111,1452894620
gciii,7,"Learning Python (...the hard way), thanks to HN.",1290544017,1450207814
gcimmino,1,,1386758103,1452919385
gcirino42,21,,1425707975,1453167093
gcjcvjcnsd,1,,1346315780,1452905646
gck2702,3,,1349733502,1452906575
gckruger,2,,1392553177,1450207814
gcl,1,,1317772700,1452897450
gcl2,33,,1320174079,1452898236
gclaramunt,225,,1237262308,1450207814
gcledingham,2,,1391191827,1450207814
gcmalloc,331,"Snake hacker and keyboard feeder\ntwitter : @gcmalloc",1304948789,1450207814
gcmartinelli,77,"business guy & entrepreneur with hacker tendencies",1237912019,1450207814
gcmazza,2,,1331752315,1452900782
gcn1,2,,1231337294,1452886955
gcodelabs,1,,1305829395,1452893808
gcofre,1,,1406482914,1452928126
gcoguiec,72,,1343402357,1450207814
gcoins,51,,1341389821,1452904250
gcoleman,766,"Java bod at www.bejig.com",1319126772,1450863347
gcolpitts,1,,1216248807,1452886327
gcommer,143,,1374763424,1450207814
gcopenhaver,53,,1249655891,1452888234
gcorne,7,,1323781513,1450207814
gcost,2,,1407190222,1452928613
gcp,2511,,1312273321,1450207814
gcp123,92,"GianCarlo Pitocco\nFounder, Head of Strategy\nGCP & Co.<p>www.GCPandCo.com",1348522675,1450207814
gcphost,1,,1399703203,1452924281
gcr,2000,,1262335806,1452845352
gcreddy,1,,1321173038,1452898376
gcrow,2,,1348924445,1452906370
gcsapo,1,,1438554894,1453171985
gcstudio,1,,1397733659,1450207814
gct,14,,1401721893,1452572304
gcto,4,,1360036817,1452909530
gcubzvyzs,1,,1343391190,1452904884
gculliss,20,,1309010910,1450207814
gcupps,1,,1246540703,1452888025
gcv,3363,"[ my public key: https://keybase.io/vetoshev; my proof: https://keybase.io/vetoshev/sigs/5dAymnyD-haTzhwW1x4iZoW42Eh-h0KyLaxW9cBLlc0 ]",1203361826,1451665594
gcventures,22,"Game Change Ventures is a venture development firm based out of Phoenix, Arizona.",1243805012,1452887944
gcverd,1,,1302528770,1452893290
gcweb,1,Programmer,1382687173,1450207814
gcz92,7,,1373067907,1450207814
