ID,Karma,About,Created,Updated
LZigel,1,,1356460546,
lza,4,"I write Games and Apps for iPhone, iPad, and Mac. Also working with Python, Django, and JavaScript.",1302711484,1450207814
lzaf,25,,1411742576,1450207814
lzbz7335,1,,1313574973,1452895978
lzco,1,"http://twitter.com/lzcabrera\nhttp://github.com/lzcabrera",1332787271,1450207814
lzd761b7a,1,,1311324995,1452895821
lze4k,1,,1388384903,1452919659
lzecon,21,"@liaeconomix\nlia.economos@gmail.com",1379643750,1450207814
lzell,161,,1247102649,1450207814
lzh-ng,34,,1329553742,1450207814
lzhamfan1,7,,1421692625,1453165380
lzhao415,1,,1379449863,1450207814
lzhc0176h,1,,1312956121,1452895755
lzheng,2,,1344466362,1452905249
lzhou,110,"Co-founder of www.renthop.com<p>Personal Website: www.lrzhou.com",1234625436,1450207814
lzhz,1,,1393230027,1452921858
lzimm,301,http://www.lzimm.com<p>#--hackrtrackr:l1u42MOqCGmnnMAxeEy63t5sqPFnXi#<p>http://www.hackernewsers.com/users/lzimm.html,1193407899,1451885401
lziz,7,,1396057974,1450207814
lzlarryli,9,,1400569833,1450207814
lzm,139,"https://github.com/lessandro<p>lessandro at gmail dot com",1258644464,1452888724
lzman,1,,1377337840,1450207814
lzmecz,3,,1379931658,1450207814
lzorzella,1,,1393531706,1452921997
lzr,1,,1384045258,1452918321
lzr_io,17,,1434043920,1453172991
lzt,2,,1306418542,1452893954
lzunzunegui,2,,1334142811,1452901555
lzw,1138,"Banned from ""Hacker News"" for taking a pro-science, anti-AGW position. Yep, banned for political incorrectness!<p>You gotta love a ""social"" news site where the moderators ban people for having unpopular opinions, even though their average karma is 3.  Doesn't matter that I was making a net positive contribution to the site.<p>Banned by cowards who don't have the integrity to disagree publicly, but are more than happy to shut me up.<p>Which is exactly why this site has increasingly become like dig-- mono-voiced.  How very ""social""!<p>It is unfortunate that I didn't disagree with Paul Graham earlier, or I would have gotten banned before getting more invested in the site.   Paul Graham- you are a coward who will not defend your positions and instead bans people.  Shame on you.",1280675191,1452889673
lzwxwcn3,1,,1332858613,1452901400
lzy,61,,1285721017,1450207814
lzy123,1,,1318670921,1452897671
lzy890116,1,,1311482073,1452895225
lzybkr,22,,1396641029,1450207814
lzyy,1,,1230639817,1452892097
