ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
MURICA11111,0,2,0.0,0,2,,1416479845,1416513902
MUSICMUG,0,1,0.0,1,0,,1334532342,
MuEta,0,17,0.0,2,6,"Recent grad from a business undergrad with a passion for programming and solving weird problems.",1446566652,1451117032
MuF,0,0,0.0,0,1,,1292619242,
MuGo,0,-1,0.0,0,3,,1340038822,
MuToiD_MaN,0,1,0.0,0,0,,1258161766,
Muantea,0,1,0.0,1,0,,1439988081,1439988121
Muazham,0,2,0.0,6,0,,1332648757,
Mubanga,0,1,0.0,1,0,,1305017586,
Muchi,0,6,0.0,0,8,,1302116021,
Muckwaracker,0,1,0.0,0,1,,1313007516,
MudAndGears,0,16,0.0,0,1,,1411681422,1430770603
Mudaba,0,1,0.0,1,0,,1431554330,1445427486
MudassirAzeemi,0,13,0.0,0,0,"Budding Entrepreneur",1258496703,
Mudblood,0,4,0.0,0,2,,1288265062,
MuddyMo,0,47,0.0,0,1,"just a Paul Graham/Tech News fan",1192222813,
MuddyWaters,0,1,0.0,0,1,,1408829530,
Mudit,0,3,0.0,7,0,,1342510031,
Mue,0,1,0.0,1,0,,1394669698,
MuffinFlavored,0,2,0.0,0,1,,1440877884,1440942931
Mugalon,0,3,0.0,1,5,,1406682459,1425228448
Muggle,0,1,0.0,0,1,,1288574070,
Mugrone,0,1,0.0,1,0,,1338976545,
MugunthKumar,0,77,0.0,8,6,"iOS Developer, Author and Trainer\nBlog: http://blog.mugunthkumar.com",1291740296,
Mugurm,0,10,0.0,2,4,"Product Manager, Google (Cloud / APIs)<p>http://www.mugur.com",1206375320,1445887123
MuhHacker,0,1,0.0,2,0,,1448557904,1450293861
Muhahaha,0,-10,0.0,0,1,,1319850025,
MuhammadAjaz,0,1,0.0,1,0,,1369605041,
Muhib_Z,0,1,0.0,2,0,,1447049797,1449381426
Mukake,0,7,0.0,0,3,,1399440973,
Mukanya,0,8,0.0,28,0,,1337841490,
Mukarram-mugal,0,1,0.0,1,0,"I am passionate for excellence in innovative Digital Marketing, creative online promotion, Reputational Internet marketing, Strongly Visible Search Engine Optimization, Strategic Social Media Optimization with Analytical ability for intelligent strategic development.",1440580202,1440580292
MukePattrick,0,1,0.0,1,0,,1308909278,
Mukul215,0,-1,0.0,13,1,@mukul215,1377089570,1422206495
Muldar,0,1,0.0,1,0,,1292705943,
Mullac42,0,1,0.0,1,0,,1331194522,
MulliMulli,0,1,0.0,0,2,,1437784786,1437796555
Mullunga,0,1,0.0,0,1,,1302051331,
MultiRRomero,0,18,0.0,0,9,,1339356074,
Multics,0,829,1.45161,80,54,,1386476644,1420639873
Multimastery,0,3,0.0,1,0,,1323026248,
Multiplayer,0,115,0.0,1,46,,1253122269,1447615062
MultiplyByZer0,0,1,0.0,1,0,,1433716526,1438108346
Multiverse,0,1,0.0,1,1,,1419334354,1419335386
Mumba,0,1,0.0,0,1,,1299053303,
MumbleFysh,0,1,0.0,0,1,,1365978735,1451493161
