ID,Karma,About,Created,Updated
NBERing,70,,1316792686,
NBo7I,10,,1434832017,1435444347
NBrown100,7,,1393447674,
NBusta,1,,1437989330,1452463059
NBvaXrWrCOBZ,1,,1354271035,
nb13,10,,1362207617,1452910428
nb1981,3,,1390485645,1450207814
nb410,3,,1406499316,1450207814
nb901210,1,,1373082224,1452914460
nba34us,1,"#--hackrtrackr:XYVFiqVkLHp6x2W0kiB53ebIs91srL#\ni'm a gjgsjca",1189959728,1189959728
nbadg,100,"Solo founder at https://www.muterra.io, building a non-SMTP encrypted email service (https://www.ethyr.net) on a cryptographically-enforced social protocol called Muse (https://github.com/Muterra/doc-muse).<p>I have a broad background (robotics, biomedical, emergency medicine, machining, automotive, language, embedded python...), happy to answer questions and generally quick to admit when I&#x27;m out of my depth.<p>https://github.com/Badg\nnickbadger.com\n@nbadg",1426904342,1453170966
nbajam,1,,1311561527,1452895225
nbaksalyar,669,"Feel free to contact me at nikita.baksalyar@gmail.com (or Twitter @nbaksalyar).<p>My blog: http://nbaksalyar.github.io/",1304382269,1452592363
nbakshi,29,,1272659544,1451580065
nbalce,2,,1321830311,1452898481
nbaleva,2,,1282266557,1450207814
nball,1,,1298579997,1452892498
nbaman_23,4,,1422402549,1453165804
nbanks,1,"I enjoy singing, playing the organ, unicycling, and programming.  Currently I'm working on BotColony in a large Montral start-up called NorthSide.  Basically, I'm just another guy who grew up at a computer.",1351127640,1450207814
nbantique,2,,1397605872,1453173276
nbap,3,,1397246248,1453169432
nbaptista007,1,,1356038770,1452908317
nbarAKL,3,,1437597214,1453170966
nbarbettini,26,,1438184744,1453173972
nbard,5,,1340226142,1452903596
nbardy,73,,1396038991,1450912108
nbarlow,32,,1342151367,1452904493
nbarr,1,,1212190335,1212190335
nbarraille,1,https://github.com/nbarraille,1354914390,1450207814
nbarry,7,,1402965034,1452925504
nbartlomiej,222,,1315582612,1450357425
nbaschool,1,,1317121588,1452897091
nbashaw,1629,"I design products for the web. I work at General Assembly (http://generalassemb.ly) and live in San Francisco, CA.<p>I&#x27;m also on twitter - @nbashaw.",1273599008,1450207814
nbasili,1,,1444828686,1453174448
nbatavia,1,,1315336035,1450207814
nbatlivala,1,,1429210293,1453168249
nbaum5,23,,1282179194,1450207814
nbauman,47,"http://snikolha.us\nhttp://twitter.com/nbauman",1229471206,1450207814
nbaumann,10,"I'm a 21 year old web developer and UX designer.",1297214703,1452892847
nbautista,2,,1256840059,1452888474
nbb,0,,1444057477,1453174987
nbc,1,,1425990867,1453167026
nbclark,26,nbclark@gmail.com,1323220383,1450207814
nbcnewstech,1,,1398357041,1452923518
nbd,6,,1291302341,1452891887
nbd168,1,,1449851520,1453174489
nbdbvcrea,10,,1365279945,1452911621
