ID,Karma,About,Created,Updated
PN101,1,,1361822456,
PnuklOEvolu,14,,1357517304,
pn,7,"Web developer.<p>tags: php, silverstripe, python, django, xhtml, html5, css, jquery.<p>Available for freelance, http://pawelnowak.com",1278875564,1450207814
pn1000,1,,1364588979,1452911496
pnaccv301,1,,1312879834,1452895978
pnachbaur,62,,1334691664,1450207814
pnacional,1,,1400992417,1452924703
pnagel,2,,1384197389,1450207814
pnambiar,1,,1429211124,1453170043
pnandan,0,,1302839316,1452893324
pnanthakumar,1,,1427251734,1453168034
pnash,2,,1435019619,1453170131
pnathan,7352,"Hi!<p>Some facts:<p>- Living in Seattle, WA<p>- I teach computers to do things.<p>- Email: pnathan@alumni.uidaho.edu<p>- Twitter: @p_nathan<p>Please feel 100% free to email/twitter me out of the blue. I really do love meeting new people, and try to respond to everyone I can - if I didn&#x27;t respond, it&#x27;s not because I didn&#x27;t want the email, it&#x27;s because I&#x27;m swamped.<p>Some other notes:<p>- http://articulate-lisp.com Common Lisp for new users!<p>- Has grad degree, M.S. in Computer Science.<p>- PL geek: experiences in java, perl, prolog, c#, objective c, c++, assemblies, rust, python, common lisp, bash, haskell.<p>- Portfolio/open source work: https://github.com/pnathan",1296230057,1452814796
pnavarrc,2,"I am Data Engineer at Algometrics Hedge Fund. I like to create data visualizations with open source tools. I also like to create illustrations in watercolor. Please, feel free to contact me and send me suggestions. You can fork and play with the source code of this site in Github.",1355753238,1450207814
pnayak,48,,1328518320,1452899953
pnborkar,1,,1336329967,1450207814
pnce,1,,1414336626,1450207814
pnchappy92,1,,1430784752,1453168805
pnchn,1,,1448646481,1453175426
pnclpshr,1,,1426601443,1453167279
pnd,1,,1308851358,1450207814
pndmnm,387,"math/philosophy/data science/systems<p>Contact me: hackernews@pndmnm.airpost.net",1318863599,1450207814
pndpo,2,,1395766414,1450207814
pndrgn,3,,1381894925,1452917315
pndsand,1,,1258094616,1452888557
pndsimpson,3,,1349713185,1452906575
pneftali,1,github.com/pneftali,1363245871,1450207814
pneiko,1,,1256576195,1453168111
pneill,29,,1233851154,1450207814
pneill316,1,,1319483503,1452897963
pnelly,-1,"RoR developer!",1266925877,1452888889
pnelson,8,http://pnelson.ca/,1309810358,1452902796
pnetz,1,,1411665396,1452931886
pneucon,1,,1343984764,1452905024
pneumaio,2,,1442794712,1453173142
pneumatics,110,,1299872825,1450207814
pneumo,1,,1389476465,1452920263
pnevares,7,,1425666704,1453167348
pnevmatico,229,,1433313940,1453169624
pnewell4,4,"interested in biz dev but much better at app dev.",1344976665,1450207814
pnewhook,63,http://www.hackernewsers.com/users/pnewhook.html,1277316649,1450207814
pnewman2,19,,1318604365,1450207814
pnewman3,2,,1441134838,1453172711
png_hero,14,,1422510608,1453165660
pngai,4,,1351496440,1450207814
pngat2x,10,,1416875244,1450926529
pngmankwong,1,,1391527059,1452921067
pnguyen,8,,1287780863,1452893517
pnguyenaf,1,,1379369649,1452916512
pnhoang,151,"Software developer. Primarily on iPhone, Objective-C, Python.\nPrevious experiences: .net, C, Ruby. \nhttp://github.com/pnhoang\nhttp://twitter.com/pnhoang\nhttp://facebook.com/pnhoang\nhttp://it.linkedin.com/in/hoangpham\nhttp://news.ycombinator.com/user?id=pnhoang\nhttp://www.delicious.com/pnhoang",1297955344,1450207814
pnhs101,1,,1362557718,1452910479
pnicholls,5,,1332189084,1452900855
pnictogen15,1,,1360817980,1452909844
pnikhil,5,,1313691609,1452895978
pnikosis,1,,1436280096,1453170565
pnispel,3,,1348866938,1452906575
pnit,2,,1390288553,1452920652
pniwpb,1,,1426677334,1453168308
pnkfelix,1,"Research engineer at Mozilla. Works on SpiderMonkey and the design/implementation of Rust programming language. Also a developer of Larceny Scheme.",1386602568,1450207814
pnlondon,1,,1428689572,1453172441
pnmahoney,56,,1300375156,1450207814
pnngndclsng,1,,1405592123,1452927624
pnobs,1,,1354832138,1452907820
pnoe,3,,1396056389,1452922561
pnommensen,141,,1412630838,1450207814
pnomolos,3,,1250703148,1452888284
pnorvig,79,,1258324221,1452888557
pnp,232,,1284574212,1450207814
pnpranavrao,1,"Undergraduate student of Mathematics at IIT Kharagpur, India.",1309020589,1452894473
pnpsf,2,,1438624577,1453171997
pnr,233,"Founder, Globevestor - Trying to break down geographical barriers separating smart capital and high-impact ideas in emerging markets. raju [AT] globevestor [DOT] com",1345974235,1450207814
pnrao,8,,1355482167,1452908645
pns,20,http://punit.org,1435767749,1453170380
pnsaputo,1,,1321848152,1452898481
pnshah,2,,1316993492,1452899567
pnslpshr,1,,1430764496,1453168781
pnt,209,,1363666253,1452911268
pnt12,115,,1401552408,1451530519
pntech,6,,1367375432,1450207814
pntrivedy,2,"Budding Entrepreneur, Designer, Developer and a Jolly joe. :)",1394541587,1453169188
pnts,1,,1281986386,1452919207
pnunnerl,1,,1430845526,1453168848
pnut,200,,1387731807,1450207814
pnutbutr,1,,1345776038,1452905507
pnutjam,-2,,1415136201,1450207814
pnwhyc,9,"19. Idaho.",1450554111,1453174767
pnyheim,5,"[ my public key: https://keybase.io/pnyheim; my proof: https://keybase.io/pnyheim/sigs/VJoZy0_rKO7Z7UkLArS9djV-S75DtgV5FtMJlc0ZYqA ]",1322747036,1450207814
pnylbam206,1,,1338517251,1452903303
pnz,-4,,1261290355,1452888684
pnzi,4,,1341241602,1452904047
