ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
RWeaver,0,115,3.0,0,33,,1366422690,
RWeber,0,1,0.0,1,0,,1334820627,
RWilson,0,206,3.0,8,26,,1191023429,1426539314
RwYeAsNt,0,1,0.0,0,1,,1343674043,1452904949
Rwebtricks,0,1,0.0,5,0,"I enjoy the internet, it's vastness and growth over the past few years have always fascinated me. Besides being an internet junkie I enjoy gaming. =)",1317382732,1452897187
rW80b2,0,9,0.0,0,1,,1370997673,1452913626
rWolfcastle,0,2,0.0,0,3,,1347563307,1452906073
rw,,2810,3.15385,77,772,https://github.com/rw,1201422190,1451713567
rw-,0,135,0.0,14,14,nil,1275171709,1452889278
rw140,,654,1.0,12,35,,1240735477,1450207814
rw2,0,55,0.0,0,0,,1441056080,1453171973
rw2-,0,-32,0.0,4,12,,1290979471,1452891944
rw37,0,2,0.0,0,0,,1426859958,1453167698
rw88,0,1,0.0,1,0,,1350275238,1452906723
rw_grim,,0,0.0,0,4,,1390422111,1450207814
rw_rrr,0,57,0.0,3,0,,1282587091,1452889839
rwa,,2,0.0,2,1,,1311659113,1450207814
rwadhams,0,2,0.0,0,1,,1287149239,1452890226
rwagasore,0,1,0.0,0,1,,1297679948,1452899786
rwain,,1,0.0,1,3,,1359862522,1450207814
rwakefield,0,4,0.0,1,0,,1302127561,1452893232
rwaldin,,20,0.0,0,1,,1266606863,1450207814
rwaldron,,96,2.30952,0,58,,1295026745,1450207814
rwalh,0,1,0.0,1,0,,1353608034,1452907494
rwalia,0,3,0.0,0,1,,1230570231,1452886955
rwaliany,,409,1.54839,32,34,"Ryan is an entrepreneur, researcher, and coder residing in Seattle, WA. His interests include human and brain development, theoretical computer science algorithms, and business.",1254117650,1450207814
rwalker,,1444,4.7381,25,65,,1171856233,1451780466
rwallace,,1814,2.06818,1,919,,1282753478,1452630373
rwalling,,582,2.59091,47,80,,1183050549,1449164813
rwan,0,1,0.0,0,1,,1312406163,1452895526
rwang0,0,1,0.0,0,1,,1320213779,1452898201
rwanghacker,0,28,0.0,0,14,,1355453411,1452908599
rwantland,0,1,0.0,0,1,,1411580243,1452931845
rwar,,34,0.0,1,21,,1300820620,1450207814
rwarasaurus,,8,0.0,1,0,,1351621271,1450207814
rwasielewski,0,1,0.0,0,1,,1342500683,1452904654
rwbarton,0,11,0.0,1,0,,1288195645,1452890432
rwbaskette,,6,0.0,0,2,,1308588155,1450207814
rwbayer,0,1,0.0,0,0,,1441814048,1453172308
rwbcxrz,,65,0.0,1,8,,1376488180,1450207814
rwbg,0,1,0.0,0,0,,1447222996,1453173708
rwbhn,,78,0.0,10,13,,1368663313,1450207814
rwboyer,0,7,0.0,3,6,,1294675106,1452892097
rwbt,,205,3.56818,8,59,,1352193841,1450207814
rwc,,160,3.24,6,52,,1294269885,1450207814
rwcarlsen,,49,0.0,0,18,,1357944534,1450588402
rwcee,0,6,0.0,0,0,,1374523021,1453164974
rwdaigle,0,1,0.0,0,1,,1302728257,1452893324
rweba,,347,5.56818,19,56,,1300262662,1450207814
rwebb,0,282,1.0,37,134,http://robwebb2k.com,1187354472,1187354472
rwedf67,0,0,0.0,0,1,,1373336929,1452914557
rweichler,,11,0.0,4,8,,1394213862,1450207814
rweidenmiller,0,16,0.0,0,0,,1403834938,1453170595
rweir,,62,1.90909,0,51,,1172752520,1450207814
rwelephant01,,1,0.0,0,1,,1361639584,1450207814
rwentk,0,1,0.0,0,1,,1398517525,1452923789
rwerew,0,7,0.0,0,0,,1440161060,1453171737
rwespetal,,2,0.0,0,1,,1401121519,1450207814
rwest,0,1,0.0,0,1,,1402308563,1452932644
rwest05,,1,0.0,2,0,,1411917982,1450207814
rwestergren,,211,0.0,17,5,,1414423245,1452465634
rwf,,1,0.0,1,0,,1413980234,1450207814
rwfilice,,119,0.0,9,16,,1364348925,1450207814
rwg,,1460,13.7045,5,190,http://twitter.com/areuugee,1268512453,1450207814
rwgould,0,2,0.0,0,1,,1304695320,1452902546
rwh86,0,17,0.0,0,0,,1427770232,1453167644
rwhendrix,0,8,0.0,0,0,,1424373431,1453168261
rwhite,0,6,0.0,0,3,,1373116423,1452914557
rwhitman,,2648,2.59091,26,842,,1257155013,1452566306
rwhitnah,0,5,0.0,0,7,,1359737148,1452909351
rwhitney,0,1,0.0,0,1,,1299864779,1452892672
rwhw342,0,1,0.0,2,0,,1344578579,1452905182
rwiguna,,59,0.0,9,0,,1405093475,1450207814
rwij,0,11,0.0,14,3,"Startup enthusiast, software engineer, dreamer :D\nCo-founder and CIO (Chief Innovation Officer) at Investor Solutions Private Limited located in Sri Lanka. @rwij https://twitter.com/rwij",1366524707,1452911874
rwijaya,0,1,0.0,0,1,,1274537445,1452889472
rwilliams,0,-3,0.0,0,0,,1255587215,1452888439
rwillmer,,4,0.0,3,4,,1326290421,1452850150
rwillystyle,0,-15,0.0,2,16,,1331564115,1452900983
rwincek,0,1,0.0,0,1,,1347993799,1452915982
rwinikates,0,5,0.0,0,0,,1403027964,1453171883
rwinn,,623,2.29545,15,74,,1339117961,1450207814
rwiser,0,3,0.0,0,3,"Python fits my brain :-)",1218484668,1452886518
rwissmann,,484,4.26471,6,59,,1349176000,1450999466
rwitoff,,153,0.0,14,20,"Coinbase, Aerospace, Apigy, JPL and more.<p>[ my public key: https://keybase.io/witoff; my proof: https://keybase.io/witoff/sigs/doXt_xnyfWKhq-r-mV5Etjr7NrJwvAVGk_Jr2EHfae0 ]",1238041667,1450762853
rwitten,,6,0.0,1,3,,1356115933,1450207814
rwitts,0,12,0.0,0,2,,1376416642,1452915508
