ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
X-CLUSSIVEZ,0,1,0.0,1,0,,1327773741,1452899711
X-Cubed,,94,2.84848,0,48,"[ my public key: https://keybase.io/xcubed; my proof: https://keybase.io/xcubed/sigs/FfeEQFBtUL2ynBucd9Q-uUZBM9KXzGjvFB-KaLwOss8 ]",1273024618,1450207814
X-Factor,0,1,0.0,0,0,"A tech and scince enthusiast.",1447506524,1453173925
X-Istence,,5112,2.47727,17,2073,"Portfolio: http://bertjwregeer.com/\nEngineering Notebook: http://funcptr.net/<p>bertjw@regeer.org",1266468729,1452859262
X-TraxxX,0,1,0.0,0,0,,1431315217,1453168999
X-Wes,0,-1,0.0,0,1,,1322940584,1452898709
X-X,0,4,0.0,1,5,,1349298315,1452906416
X-combinator,,30,0.0,37,63,"Curious onlooker.<p>&quot;I know, I know and I believe&quot;",1414615893,1450207814
X000,0,0,0.0,0,0,"Internet Surfer...!",1445659351,1453173849
X0Refraction,,3,0.0,0,1,,1405961283,1450207814
X0nic,,34,0.0,0,7,,1233812822,1450207814
X4,,2877,1.04762,250,961,"German student freelancing and pursuing his masters degree. Do you need a Software- or Web-Developer, a Sysadmin or Designer, hire me.",1297617760,1450207814
X41,0,4,0.0,0,5,,1369446969,1452921306
X4257,,1,0.0,1,0,,1404130940,1450267840
X4lldux,,10,0.0,0,5,,1305569633,1450267840
X6MW3aQrZU5VKkz,0,39,0.0,0,12,X6MW3aQrZU5VKkz@gmail.com,1339243592,1452903523
X86BSD,0,-1,0.0,0,0,,1436286586,1453170565
X8FntewI,0,4,0.0,1,1,,1381494174,1452917202
X9,,4,0.0,1,3,,1248983263,1450207814
X9E-127,0,1,0.0,1,1,,1371702122,1452913831
XBeat,0,1,0.0,2,0,,1364411054,1452911456
XBigTK13X,,11,0.0,0,15,"Professional code monkey and game developer. Full time crazy person. \n@XBigTK13X<p>http://www.simplepathstudios.com",1354280746,1450207814
XCSme,0,-4,0.0,0,0,,1419792447,1453168285
XDDD,0,0,0.0,0,0,,1448459643,1453174147
XDUKERX,0,1,0.0,1,0,,1352626917,1452907235
XDirtyPunkX,0,2,0.0,0,0,,1406282225,1453172544
XEKEP,,29,0.0,0,25,,1313129128,1450207814
XERQ,,213,2.36667,23,54,"Founder of JARVYS, XERQ, Inc., and SSD Nodes, Inc., startups based in Orange County, CA.<p>JARVYS: https://JARVYS.io - https://twitter.com/JARVYSio<p>XERQ, Inc.: https://XERQ.io - https://twitter.com/XERQio<p>SSD Nodes, Inc.: http://www.ssdnodes.com - https://twitter.com/SSDNodes<p>My Blog/twitter: https://mgc.io - http://twitter.com/MattGConnor<p>Reach out to me, even if just to say hi: matt[@]ssdnodes.com",1328396206,1452314118
XFactor82,0,1,0.0,0,0,,1381346398,1453166758
XFrequentist,,87,0.0,2,37,,1271619864,1452112362
XH,0,37,0.0,4,0,,1293774859,1452891993
XIT,0,2,0.0,0,0,,1255526684,1452888407
XJOKOLAT,,126,0.0,0,57,,1394715837,1452026680
XKingKong,0,2,0.0,0,0,,1448831175,1453174253
XL5,,11,0.0,0,4,,1395146163,1450207814
XLDRT,0,13,0.0,0,0,,1418843885,1453168413
XLcommerce,0,185,2.0,3,68,,1308535487,1452894379
XM49inJV49gg,0,1,0.0,0,0,,1443623565,1453172699
XMPPwocky,0,42,0.0,0,0,"[ my public key: https://keybase.io/xmppwocky; my proof: https://keybase.io/xmppwocky/sigs/7mJfLC7zmzEmzWkm_J3JxO_iKhquXjTUVZ3LV4xNBts ]",1437975972,1453171068
XMediaStudio,0,1,0.0,1,0,"www.xms.ro - Filmare si fotografiere profesionala la cele mai inalte standarde. Daca vrei sa simti ca o vedeta apeleaza la serviciile noastre si vei fi incantat de calitatea pe care o oferim la preturi accesibile, indiferent ca este vorba de un eveniment, sau o simpla sedinta foto.",1317504981,1452897283
XODsQToxwi1eOy8,0,10,0.0,0,8,,1384478720,1452918693
XP1,0,1,0.0,0,4,,1282375473,1452895170
XPGBullet,0,1,0.0,31,0,,1307695776,1452894229
XPherior,,154,0.0,5,11,,1326495113,1450207814
XRaySpeX,0,1,0.0,0,2,,1240017391,1452887513
XVIII,0,1,0.0,0,1,,1376589222,1452915536
XXXCombinator,0,1,0.0,0,1,,1376194799,1452915473
XXrddccf,0,1,0.0,1,0,,1315187200,1452896423
XXthrowawayXX,0,14,0.0,1,3,,1364182977,1452911355
XYEaQMZJvS,0,18,0.0,0,0,,1424121139,1453166332
X_x_X,0,1,0.0,1,0,,1376187539,1452915473
Xaerxess,,1,0.0,1,0,,1329906650,1450267840
Xam_Orpheus,0,66,0.0,0,0,,1421934921,1453167129
Xamgore,0,2,0.0,0,0,,1410890246,1453165185
Xangis,0,3,0.0,3,2,,1266448201,1452924752
Xaniel777,0,1,0.0,3,0,"Danimartextras.com\nAlternative News Network.\nAll the news you can't or won't get from Main Stream Media!",1331570073,1452900615
Xanthius,0,2,0.0,0,1,,1366582590,1452911874
Xantier,0,2,0.0,0,0,,1429866568,1453168438
Xantix,0,1,0.0,0,1,,1344378694,1452905119
Xanza,,89,2.0,0,33,"[ my public key: https://keybase.io/zqueal; my proof: https://keybase.io/zqueal/sigs/6LkpBGbBUjgwNzpPuK-Ovq4XUJntLHERfoALB8h_9KM ]",1350406987,1450207814
Xarik,,1,0.0,2,1,,1381723431,1450207814
Xarik1,0,1,0.0,0,1,,1404243062,1452926291
Xarnon,0,2,0.0,0,1,,1299657348,1452892632
XarotheOne,0,4,0.0,0,7,,1367495911,1452912102
Xarvester,0,7,0.0,0,0,,1392250882,1453172424
Xasir,0,1,0.0,0,1,"I am CEO of publication company. Already have lot of products in success but new baby is infotales.com. Started a couple of months ago. Also trying to help people to understand perfectly things in world.",1382464807,1452918321
XaspR8d,,216,2.11364,0,107,,1348117661,1450736877
Xasri,0,1,0.0,1,0,,1382404413,1452917578
Xatter,,6,0.0,1,3,,1328050167,1450207814
Xavez,,2,0.0,1,2,,1375648726,1450207814
Xavi,,49,0.0,9,49,xavi.co<p>xavi.rmz@gmail.com,1236647035,1450207814
Xavier,0,2,0.0,1,0,,1274776474,1452889277
XavierB,0,2,0.0,0,1,,1315367093,1452904814
XavierJohn,0,1,0.0,1,0,,1327413148,1452899631
XavierMendel,0,12,0.0,0,2,,1360252232,1452909763
Xavierf-,0,1,0.0,0,1,,1410443428,1452930869
Xaviju,,3,0.0,0,5,,1404911735,1450207814
Xavura,0,7,0.0,0,9,,1298856001,1452894620
XbcL4QZQ,0,3,0.0,0,0,,1423643103,1453166016
Xbin,0,1,0.0,0,1,,1357718303,1452908688
Xc43,0,1,0.0,0,1,"Hi, I am Ian. You can contact me @ iovg AT google's email service.<p>My day job is studying. Nevertheless if you have a simple and outsourceable ""jobette"" that would lead to interesting opportunities I would love hearing about it.<p>Living in the very french province of Qubec, Canada.",1313178581,1452895821
Xcelerate,,5344,4.02273,77,1011,"I am a PhD student at the University of Tennessee.  My research goals are twofold:<p>1) Develop a highly general method for generating on-the-fly molecular dynamics potentials that are both fast and accurate by applying data science techniques (machine learning, kernel methods, etc.) to the results of slower but more accurate simulations (e.g., DFT or QMC).<p>2) Develop methods to extract archetypal atomic neighborhoods from novel materials.  Experimental data describing these materials is obtained via atom probe tomography; however, the data is corrupted by a large amount of noise and missing information.  Recent research in rank recovery and matrix completion (e.g., the Netflix problem) provides a way to reveal the underlying low-dimensional patterns that exist in the data in an unbiased way.<p>In order to test the effectiveness of these methods, I am using them to study the localization of lithium ions in novel carbon composite anodes developed at Oak Ridge National Laboratory.  These anodes are both crystalline and amorphous, and thus the Li-ions diffuse and localize in highly non-obvious ways.",1339127290,1452893667
XcodeNoob,0,6,0.0,0,6,"Objective-C (primary)\nJavaScript (hobby)<p>http://facebook.com/fangchen1984",1323083316,1452899786
Xcore,,2,0.0,0,3,,1402848824,1450207814
Xdes,,488,3.02273,9,191,,1383668459,1450207814
Xe0n0,,2,0.0,1,0,,1357267607,1450207814
XeO3,0,1,0.0,0,0,,1419655905,1453165757
XeRoM3,0,1,0.0,2,0,,1342407195,1452904586
Xeago,0,5,0.0,0,0,,1370471967,1453170966
Xechas,,1,0.0,0,2,,1331085119,1450207814
Xeden,0,1,0.0,0,2,,1264762418,1452888810
Xeiliex,,5,0.0,0,2,,1374621761,1450207814
Xelank,,1,0.0,0,2,,1396647122,1450207814
Xelaz,,71,0.0,10,5,,1289626060,1450207814
Xelom,,140,0.0,26,27,,1373011763,1451146495
Xen0ph0n,0,1,0.0,1,0,,1335856361,1452902546
XenithShade,0,7,0.0,0,4,,1352618306,1452907584
Xenmen,,25,0.0,1,26,"Nintendo DS homebrew was the greatest experience of my life. I learned more doing that, in less time, than anything else I&#x27;ve ever worked on. That was my &#x27;Commodore/BASIC&#x27; experience.<p>Personal website: daniel.tadeuszow.com/<p>I&#x27;m a Canadian dev in Vancouver with an interest in automated agriculture as a municipal utility. I hope to prove the viability of automated resource production as a strong alternative to charity and a vicious labour market.<p>Bash and Python are my primary scripting tools. I enjoy C, though in my current circumstances I can&#x27;t justify getting more experience. I decided to prioritize learning javascript and HTML, since webdev is eating the lunch of young conventional programmers who work at a slow pace (like I do).<p>After much experimentation, and soul searching, I&#x27;ve settled on Nodejs as my server foundation. It runs on a machine with 128MB RAM, which I use as my main host, so my yearly hosting cost is $15 [ http://tinyvz.com/ ].<p>My bucket list consists of making remixes to old game music, and releasing them in tracker formats, such as .xm. Open Source music promotes remix culture!<p>The Soundtrack highest on my priority list is Perfect Dark. Presently I am using Ableton, as I hope to hone my skills in such a way that I can moonlight as a DJ with minimal setup time. Using my remixing dream as a way to drive my most relaxing passtime seemed a good compromise until I have the financial stability to recreate them in .xm.\nhttps://xenmen.bandcamp.com/album/alone-with-joanna-dark<p>Writing more NDS homebrew and SDL toys would be a nice passtime. I hear Rust is nice, but I&#x27;d rather learn how to wield Nodejs and such first. My ideal future is a mobile home with rain collector, solar power, and &#x27;soylent box&#x27;, a mythical device that refines materials in the wild into delicious soylent-comparable mush.\nThat&#x27;d be living the dream :]",1390788284,1450207814
Xeno22,0,1,0.0,0,1,,1363967850,1452911268
XenoReseller,0,1,0.0,0,1,,1335153700,1452902370
Xenokitten,0,1,0.0,1,0,,1404994088,1452926952
XenonofArcticus,0,1,0.0,0,0,,1259736220,1452888609
Xenopax,0,1,0.0,1,0,,1365083840,1452911594
XenophileJKO,,5,0.0,1,1,,1397107174,1450207814
Xenosky,0,1,0.0,0,1,,1309513856,1452894620
Xeo_it,0,2,0.0,1,0,,1328661961,1452899883
Xeoncross,,397,2.54286,13,136,"I live at http://github.com/Xeoncross<p>stackoverflow: http://stackoverflow.com/users/99923/xeoncross",1300897226,1452710135
Xephyrous,,36,0.0,0,18,,1369748798,1451313909
Xero,,326,0.0,8,7,,1274881336,1450207814
XeroDgX,0,1,0.0,0,1,,1333383661,1452901281
Xeroday,,34,0.0,2,13,,1372860851,1450207814
Xerographica,0,1,0.0,0,0,,1431483153,1453169078
Xerxesb,0,2,0.0,0,1,,1237766034,1452887289
Xetick,0,1,0.0,0,0,,1373353215,1452924129
Xetrill,0,3,0.0,0,2,,1307784103,1452894229
XghTk,0,0,0.0,0,0,,1452866909,1453175401
Xhysa,0,2,0.0,0,1,,1366398489,1452911832
XiNGRZ,0,2,0.0,0,0,,1446870544,1453173610
XiOmicronSigma,0,5,0.0,0,0,,1446344813,1453173439
XiQiao,0,1,0.0,0,1,,1333995249,1452901515
XiX_,0,1,0.0,1,0,,1350713504,1452906850
XiZhao,,35,0.0,5,24,,1341376838,1450207814
XiaoPing,0,17,1.0,14,20,,1337917405,1452903112
Xiba,0,9,0.0,1,0,,1281536653,1452889716
Xichekolas,0,4849,4.0,63,1112,"Hacker News Toolkit: http://userscripts.org/scripts/show/25039<p>A Greasemonkey script that adds some handy features to HN, including a blacklist/style, saved links, splitview, search box for SearchYC, new story preview, pre-fix, and title rename.<p>My email is my username at gmail<p>You can catch me on AIM or freenode as Xichekolas<p>Read my (nerdy) thoughts on Stuff:\nhttp://andrewfarmer.name/",1172596301,1172596301
XilE,,0,0.0,0,1,,1417797594,1450267840
XillerGmbH,,2,0.0,1,1,,1413281819,1450207814
Xilo1984,0,1,0.0,2,0,,1377708836,1452915890
Xingtao,0,1,0.0,0,1,,1369882332,1452913045
Xinnabar,0,1,0.0,0,0,"Undertaking a Master of Engineering degree in Mathematics and Computer Science. Know a little about a lot, would like to know a lot about less.",1439303447,1453171560
XioNoX,0,424,0.0,0,0,,1372673883,1453167852
Xion,0,575,5.0,13,115,"Software developer with wits and passion.<p>http://xion.io\nhttp://twitter.com/Xion__",1317488483,1452898619
Xion345,0,11,0.0,0,0,,1421313535,1453167003
XionDark,,2,0.0,0,1,,1329448914,1450207814
XionOfCha0s,0,1,0.0,0,1,,1375234762,1452915179
Xipe,0,-14,0.0,1,15,,1278843780,1452889588
Xixi,,701,3.06818,13,229,"Co-founder of requires.io and Tomotcha.<p>French software engineer living in Osaka, Japan. Always interested to meet likeminded people in the area so please feel free to drop me a line: alexis.tabary@gmail.com",1182310356,1452543783
Xizwe,0,1,0.0,0,0,"Life isn&#x27;t about finding yourself. Life is about creating yourself.",1420621777,1453165040
XjSv,,1,0.0,0,1,www.ArmandoTresova.com,1332768836,1450207814
XjonneX,0,1,0.0,1,0,,1365508213,1452911650
Xk,,1017,8.0,1,181,"I do security",1282318006,1450207814
Xlab,,77,0.0,4,6,,1385336838,1450808493
Xlp-Thlplylp,0,14,0.0,0,14,,1211783112,1211783112
XlpThlplylp,0,3,0.0,0,1,,1295610820,1452892125
Xlythe,,123,2.81818,4,57,"Just a college student who dabbles in programming.<p>Creator of:\nhttps://play.google.com/store/apps/details?id=com.sam.hex\nhttps://play.google.com/store/apps/details?id=com.android2.calculator3\nhttps://play.google.com/store/apps/details?id=com.xlythe.saolauncher<p>Email at:\nwill@xlythe.com",1302268730,1450207814
Xmindz,,67,0.0,12,1,,1396586845,1452748722
XobSky,0,1,0.0,0,1,,1207073492,1207073492
Xodarap,,305,0.0,5,28,https://www.linkedin.com/in/bentwest,1266255290,1450207814
Xodia,0,1,0.0,0,0,,1413274385,1453165804
Xofel,,6,0.0,3,1,,1343183042,1450207814
Xoff,0,4,0.0,0,1,,1241641905,1452887906
XolaniBaskets,0,1,0.0,1,0,,1314326185,1452896231
Xomb,0,1,0.0,1,0,,1365097110,1452911594
Xophmeister,,433,2.32258,5,145,http://xoph.co<p>https://github.com/Xophmeister<p>@Xophmeister,1351192245,1452323353
XorNot,,3014,1.93182,0,1678,,1358897873,1452891905
Xoriff,0,1,0.0,0,1,,1342368759,1452904586
Xorlev,,671,3.02273,1,260,"Senior Software Engineer at FullContact<p>Enthusiastic about technology and programming. Coffee too.",1276197027,1450895460
Xosofox,0,1,0.0,0,2,,1347627250,1452906073
Xoxox,,9,0.0,4,10,"Hacking the best in life ?????<p>http://gawker.com/the-best-of-2014-movies-books-music-and-more-a-list-1669796500<p>This account was created on October 3, 2014",1412365325,1450207814
Xpirate,0,0,0.0,0,12,,1297619030,1452892334
Xplained,0,1,0.0,3,0,,1263523905,1452888724
Xplay,0,1,0.0,1,0,,1387055947,1452919419
XplodingForce,0,3,0.0,0,0,,1431513591,1453169078
Xpr3ss,0,1,0.0,1,0,,1325075194,1452899203
