ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
Z3UX,,23,0.0,3,13,"just an IT geek from portugal.\nget in touch with me at twitter.com/Z3UX",1222483063,1450207814
Z3ekg,0,1,0.0,1,0,"I have been looking for a site like this. Im good i found this one recently.",1377277530,1452915703
z303,,100,2.43182,5,68,"Zoe, a recovering games coder<p>Twitter: @Z303\nhttp://hackernewsers.com/users/z303.html<p>[ my public key: https://keybase.io/z303; my proof: https://keybase.io/z303/sigs/KvAyNTITQ70V_V8r4KmUn2kO2UjtRAtCo0456CAx_hg ]",1225131210,1451895858
z324werwer,0,-49,0.0,0,4,,1325784881,1452899344
z3bra,0,7,0.0,2,22,"Programming monk apprentice.",1376538709,1452918056
z3niMAGiNE,0,7,0.0,0,6,,1311435648,1452909044
z3nyt,0,1,0.0,3,0,,1365763365,1452911713
z3phyr,,1262,1.75,93,260,,1347952258,1450207814
z3r00n3,0,1,0.0,3,0,,1375505564,1452915285
z3r0d4v3,0,32,0.0,0,0,,1438982665,1453173020
z3r0p4r4d0x,0,29,0.0,1,12,,1216723548,1452886843
z3roshot,0,1,0.0,0,1,,1381239662,1452917095
z3t4,,324,0.0,10,412,"e-mail: zeta@zetafiles.org",1396780841,1452846945
z3ugma,,31,0.0,1,21,,1382543710,1451778936
